Fecha Dia/Mes/Año,Grupo de Maquinas,Maquina,Causa,No,# Operador,Turno,Articulo (MK),Calibre,Tipo,Metal,Tiempo Hrs
1/2/19,Devanado y Empaque,DECCO,Ajustes en equipo,34,127232,3,MKs275,77X372,1/4 D,CU,1
1/2/19,Devanado y Empaque,MR 1,Ajustes en equipo,34,8283,2,MKs275,77X372,1/4 D,CU,0.34
1/2/19,Devanado y Empaque,MR 1,Ajustes en equipo,34,8283,3,MKs275,77X372,1/4 D,CU,0.33
1/2/19,Devanado y Empaque,REDEX,Ajustes en equipo,34,62743,1,MKt004,162X456,CDN,CU,0.67
1/2/19,Devanado y Empaque,REDEX,Ajustes en equipo,34,9734,3,MKs275,77X372,1/4 D,CU,0.38
1/2/19,RECTANGULARES  (GPO 11),C.HOLTON,Ajustes en equipo,34,69586,1,MKn741,150X504,2CA,AL,1.83
1/2/19,RECTANGULARES  (GPO 11),C.HOLTON,Ajustes en equipo,34,93044,2,MKs275,77X372,1/4 D,CU,2.08
1/2/19,ENCINTADO NOMEX,NOMEX 6,Ajustes en equipo,34,54858,1,MKj530,128X256,CDN,CU,0.42
1/3/19,Devanado y Empaque,DECCO,Ajustes en equipo,34,127232,3,MKi289,95X340,1CAPI,CU,0.5
1/3/19,Devanado y Empaque,MR 1,Ajustes en equipo,34,8283,2,MKi289,95X340,1CAPI,CU,0.17
1/3/19,Devanado y Empaque,REDEX,Ajustes en equipo,34,9734,3,MKi289,95X340,1CAPI,CU,0.25
1/3/19,RECTANGULARES  (GPO 11),C.HOLTON,Ajustes en equipo,34,93044,2,MKi289,95X340,1CAPI,CU,0.63
1/4/19,ESTIRADO GRUESO MAGNETO,KIESELST,Ajustes en equipo,34,123030,3,MKt347,4.5X8,PTD/AI,CU,0.17
1/4/19,Devanado y Empaque,MR 1,Ajustes en equipo,34,135167,3,MKt347,4.5X8,PTD/AI,CU,0.83
